seed,epoch,test-loss,total-variance,total-acc,test-acc_feature0-linear,test-acc_feature1-xor_xor_xor,test-loss_feature0-linear,test-loss_feature1-xor_xor_xor,rep-R2_feature0-linear,rep-R2_feature1-xor_xor_xor
0,0,0.69564164,0.00639009,0.49365234,0.48730469,0.50000000,0.69500995,0.69627339,0.00000000,0.00000000
0,100,0.69199920,0.00638516,0.64746094,0.79492188,0.50000000,0.69052052,0.69347787,0.00000000,0.00000000
0,200,0.68720824,0.01160705,0.68750000,0.87207031,0.50292969,0.68111640,0.69330001,0.00000000,0.00000000
0,300,0.65549755,0.08308679,0.73242188,1.00000000,0.46484375,0.61752933,0.69346583,0.00000000,0.00000000
0,400,0.40081382,3.38872075,0.73681641,1.00000000,0.47363281,0.10752013,0.69410747,0.00000000,0.00000000
0,500,0.35332417,9.27692413,0.73193359,1.00000000,0.46386719,0.01322750,0.69342077,0.00000000,0.00000000
0,599,0.34931976,12.47050667,0.73730469,1.00000000,0.47460938,0.00518677,0.69345272,0.00000000,0.00000000
