seed,epoch,test-loss,total-variance,total-acc,test-acc_feature0-linear,test-acc_feature1-xor_xor_xor,test-loss_feature0-linear,test-loss_feature1-xor_xor_xor,rep-R2_feature0-linear,rep-R2_feature1-xor_xor_xor
0,0,0.69564164,0.00639009,0.49365234,0.48730469,0.50000000,0.69500995,0.69627339,0.00000000,0.00000000
0,500,0.35332417,9.27690887,0.73193359,1.00000000,0.46386719,0.01322755,0.69342077,0.00000000,0.00000000
0,1000,0.34732127,18.49938011,0.74511719,1.00000000,0.49023438,0.00110677,0.69353586,0.00000000,0.00000000
0,1500,0.34703669,22.07234955,0.74121094,1.00000000,0.48242188,0.00048780,0.69358557,0.00000000,0.00000000
0,2000,0.34695113,24.36281776,0.74218750,1.00000000,0.48437500,0.00029816,0.69360411,0.00000000,0.00000000
0,2500,0.34692031,26.05239868,0.74023438,1.00000000,0.48046875,0.00021043,0.69363016,0.00000000,0.00000000
0,3000,0.34690750,27.41502380,0.73974609,1.00000000,0.47949219,0.00016066,0.69365430,0.00000000,0.00000000
0,3500,0.34690395,28.51722908,0.73974609,1.00000000,0.47949219,0.00012948,0.69367838,0.00000000,0.00000000
0,4000,0.34690067,29.50870705,0.74072266,1.00000000,0.48144531,0.00010807,0.69369328,0.00000000,0.00000000
0,4500,0.34690303,30.38603210,0.74023438,1.00000000,0.48046875,0.00009256,0.69371349,0.00000000,0.00000000
0,5000,0.34690943,31.16001511,0.73730469,1.00000000,0.47460938,0.00008099,0.69373792,0.00000000,0.00000000
0,5500,0.34691948,31.85474777,0.73730469,1.00000000,0.47460938,0.00007210,0.69376683,0.00000000,0.00000000
0,6000,0.34692645,32.49578094,0.73779297,1.00000000,0.47558594,0.00006507,0.69378781,0.00000000,0.00000000
0,6500,0.34694663,33.11594772,0.73779297,1.00000000,0.47558594,0.00005913,0.69383413,0.00000000,0.00000000
0,7000,0.34697017,33.71406937,0.73925781,1.00000000,0.47851562,0.00005404,0.69388628,0.00000000,0.00000000
0,7500,0.34697828,34.28873825,0.74218750,1.00000000,0.48437500,0.00004974,0.69390684,0.00000000,0.00000000
0,8000,0.34698549,34.83789062,0.74218750,1.00000000,0.48437500,0.00004625,0.69392473,0.00000000,0.00000000
0,8500,0.34698349,35.38044739,0.74414062,1.00000000,0.48828125,0.00004329,0.69392371,0.00000000,0.00000000
0,9000,0.34697661,35.92449570,0.74609375,1.00000000,0.49218750,0.00004064,0.69391263,0.00000000,0.00000000
0,9500,0.34695086,36.47134781,0.74609375,1.00000000,0.49218750,0.00003855,0.69386315,0.00000000,0.00000000
0,10000,0.34677741,37.17513275,0.75000000,1.00000000,0.50000000,0.00003742,0.69351739,0.00000000,0.00000000
0,10500,0.34524933,38.45350647,0.76953125,1.00000000,0.53906250,0.00004691,0.69045174,0.00000000,0.00000000
0,11000,0.33330864,45.60385132,0.83789062,1.00000000,0.67578125,0.00041186,0.66620541,0.00000000,0.00000000
0,11500,0.25874475,168.66516113,0.92138672,1.00000000,0.84277344,0.00455875,0.51293075,0.00000000,0.00000000
0,12000,0.09169462,1163.94885254,0.98339844,1.00000000,0.96679688,0.00196092,0.18142831,0.00000000,0.00000000
0,12500,0.02717697,2599.50073242,0.99658203,1.00000000,0.99316406,0.00049964,0.05385429,0.00000000,0.00000000
0,13000,0.00778478,3530.36279297,1.00000000,1.00000000,1.00000000,0.00010078,0.01546879,0.00000000,0.00000000
0,13500,0.00340905,4089.39160156,1.00000000,1.00000000,1.00000000,0.00003893,0.00677917,0.00000000,0.00000000
0,14000,0.00198561,4472.15722656,1.00000000,1.00000000,1.00000000,0.00002428,0.00394693,0.00000000,0.00000000
0,14500,0.00133964,4762.43603516,1.00000000,1.00000000,1.00000000,0.00001794,0.00266134,0.00000000,0.00000000
0,15000,0.00098550,4996.49414062,1.00000000,1.00000000,1.00000000,0.00001418,0.00195682,0.00000000,0.00000000
0,15500,0.00076793,5192.52539062,1.00000000,1.00000000,1.00000000,0.00001175,0.00152411,0.00000000,0.00000000
0,16000,0.00062319,5361.22558594,1.00000000,1.00000000,1.00000000,0.00001003,0.00123636,0.00000000,0.00000000
0,16500,0.00052068,5509.44726562,1.00000000,1.00000000,1.00000000,0.00000875,0.00103262,0.00000000,0.00000000
0,17000,0.00044478,5641.72851562,1.00000000,1.00000000,1.00000000,0.00000773,0.00088183,0.00000000,0.00000000
