seed,epoch,test-loss,total-variance,total-acc,test-acc_feature0-linear,test-acc_feature1-xor_xor_xor,test-loss_feature0-linear,test-loss_feature1-xor_xor_xor,rep-R2_feature0-linear,rep-R2_feature1-xor_xor_xor
0,0,0.68731886,0.05967490,0.52197266,0.56250000,0.48144531,0.68065792,0.69397974,0.00000000,0.00000000
0,500,0.34779349,15.21928596,0.74707031,1.00000000,0.49414062,0.00161094,0.69397604,0.00000000,0.00000000
0,1000,0.34728566,19.46626091,0.74902344,1.00000000,0.49804688,0.00055129,0.69402003,0.00000000,0.00000000
0,1500,0.34718916,21.87712669,0.74804688,1.00000000,0.49609375,0.00031250,0.69406581,0.00000000,0.00000000
0,2000,0.34719723,23.59704781,0.74853516,1.00000000,0.49707031,0.00021150,0.69418299,0.00000000,0.00000000
0,2500,0.34723526,24.96402359,0.74414062,1.00000000,0.48828125,0.00015703,0.69431347,0.00000000,0.00000000
0,3000,0.34730870,26.07962418,0.74462891,1.00000000,0.48925781,0.00012371,0.69449365,0.00000000,0.00000000
0,3500,0.34742543,27.00373650,0.74218750,1.00000000,0.48437500,0.00010104,0.69474983,0.00000000,0.00000000
0,4000,0.34751788,27.82479286,0.73730469,1.00000000,0.47460938,0.00008526,0.69495046,0.00000000,0.00000000
0,4500,0.34764704,28.59897232,0.73583984,1.00000000,0.47167969,0.00007332,0.69522071,0.00000000,0.00000000
0,5000,0.34775683,29.30486298,0.73388672,1.00000000,0.46777344,0.00006397,0.69544977,0.00000000,0.00000000
0,5500,0.34786555,29.97193336,0.73339844,1.00000000,0.46679688,0.00005634,0.69567484,0.00000000,0.00000000
0,6000,0.34795702,30.61028290,0.73535156,1.00000000,0.47070312,0.00005000,0.69586408,0.00000000,0.00000000
0,6500,0.34804094,31.21474457,0.73730469,1.00000000,0.47460938,0.00004473,0.69603711,0.00000000,0.00000000
0,7000,0.34807286,31.82895660,0.74072266,1.00000000,0.48144531,0.00004010,0.69610554,0.00000000,0.00000000
0,7500,0.34784827,32.49657440,0.74902344,1.00000000,0.49804688,0.00003583,0.69566071,0.00000000,0.00000000
0,8000,0.34591982,33.40437317,0.77197266,1.00000000,0.54394531,0.00003212,0.69180751,0.00000000,0.00000000
0,8500,0.32506955,33.85049057,0.87451172,1.00000000,0.74902344,0.00003696,0.65010214,0.00000000,0.00000000
0,9000,0.09029511,42.71767044,0.97363281,1.00000000,0.94726562,0.00004876,0.18054146,0.00000000,0.00000000
0,9500,0.00514099,64.63066864,1.00000000,1.00000000,1.00000000,0.00001588,0.01026611,0.00000000,0.00000000
0,10000,0.00184885,70.81549072,1.00000000,1.00000000,1.00000000,0.00001326,0.00368444,0.00000000,0.00000000
0,10500,0.00103527,74.36837006,1.00000000,1.00000000,1.00000000,0.00001113,0.00205942,0.00000000,0.00000000
0,11000,0.00069197,76.84950256,1.00000000,1.00000000,1.00000000,0.00000980,0.00137415,0.00000000,0.00000000
0,11500,0.00050782,78.76481628,1.00000000,1.00000000,1.00000000,0.00000883,0.00100682,0.00000000,0.00000000
0,12000,0.00039560,80.33497620,1.00000000,1.00000000,1.00000000,0.00000813,0.00078308,0.00000000,0.00000000
0,12500,0.00032096,81.66941071,1.00000000,1.00000000,1.00000000,0.00000755,0.00063438,0.00000000,0.00000000
0,13000,0.00026817,82.82832336,1.00000000,1.00000000,1.00000000,0.00000707,0.00052928,0.00000000,0.00000000
0,13500,0.00022916,83.84972382,1.00000000,1.00000000,1.00000000,0.00000667,0.00045165,0.00000000,0.00000000
0,14000,0.00019941,84.76452637,1.00000000,1.00000000,1.00000000,0.00000634,0.00039248,0.00000000,0.00000000
0,14500,0.00017609,85.59536743,1.00000000,1.00000000,1.00000000,0.00000603,0.00034615,0.00000000,0.00000000
0,15000,0.00015734,86.35669708,1.00000000,1.00000000,1.00000000,0.00000577,0.00030890,0.00000000,0.00000000
0,15500,0.00014194,87.05842590,1.00000000,1.00000000,1.00000000,0.00000554,0.00027834,0.00000000,0.00000000
0,16000,0.00012911,87.70898438,1.00000000,1.00000000,1.00000000,0.00000532,0.00025289,0.00000000,0.00000000
0,16500,0.00011825,88.31442261,1.00000000,1.00000000,1.00000000,0.00000513,0.00023137,0.00000000,0.00000000
0,17000,0.00010894,88.88011169,1.00000000,1.00000000,1.00000000,0.00000497,0.00021291,0.00000000,0.00000000
0,17500,0.00010090,89.41085815,1.00000000,1.00000000,1.00000000,0.00000480,0.00019699,0.00000000,0.00000000
0,18000,0.00009388,89.90983582,1.00000000,1.00000000,1.00000000,0.00000466,0.00018311,0.00000000,0.00000000
0,18500,0.00008774,90.37992859,1.00000000,1.00000000,1.00000000,0.00000452,0.00017096,0.00000000,0.00000000
0,19000,0.00008234,90.82750702,1.00000000,1.00000000,1.00000000,0.00000440,0.00016028,0.00000000,0.00000000
0,19500,0.00007754,91.24916077,1.00000000,1.00000000,1.00000000,0.00000428,0.00015080,0.00000000,0.00000000
0,19999,0.00007326,91.64984131,1.00000000,1.00000000,1.00000000,0.00000417,0.00014236,0.00000000,0.00000000
