seed,epoch,test-loss,total-acc,test-acc_feature0,test-acc_feature1,test-loss_feature0,test-loss_feature1
1,1600,0.69818640,0.50048828,0.49707031,0.50390625,0.70289701,0.69347560
1,1700,0.69826770,0.50244141,0.49707031,0.50781250,0.70302147,0.69351381
1,1800,0.69836539,0.50146484,0.49707031,0.50585938,0.70317173,0.69355911
1,1900,0.69846147,0.50146484,0.49804688,0.50488281,0.70332706,0.69359601
1,2000,0.69856638,0.50146484,0.49804688,0.50488281,0.70347166,0.69366109
1,2100,0.69869334,0.50048828,0.49707031,0.50390625,0.70364165,0.69374490
1,2200,0.69880444,0.50048828,0.49707031,0.50390625,0.70375121,0.69385767
1,2300,0.69893897,0.49853516,0.49609375,0.50097656,0.70389527,0.69398278
1,2400,0.69906366,0.49609375,0.49511719,0.49707031,0.70401245,0.69411486
1,2500,0.69919544,0.49462891,0.49511719,0.49414062,0.70411772,0.69427323
1,2600,0.69934279,0.49414062,0.49121094,0.49707031,0.70424932,0.69443619
1,2700,0.69949627,0.49365234,0.49121094,0.49609375,0.70436549,0.69462711
1,2800,0.69967222,0.49462891,0.49121094,0.49804688,0.70450437,0.69484019
1,2900,0.69984961,0.49462891,0.49023438,0.49902344,0.70464247,0.69505680
1,3000,0.70000285,0.49267578,0.49023438,0.49511719,0.70470786,0.69529802
1,3100,0.70014107,0.48925781,0.48730469,0.49121094,0.70472825,0.69555390
1,3200,0.70035410,0.48925781,0.48730469,0.49121094,0.70487070,0.69583768
1,3300,0.70054674,0.48974609,0.48632812,0.49316406,0.70495409,0.69613945
1,3400,0.70080411,0.48486328,0.48535156,0.48437500,0.70512140,0.69648689
1,3500,0.70106924,0.48535156,0.48437500,0.48632812,0.70529777,0.69684070
1,3600,0.70133823,0.48779297,0.48437500,0.49121094,0.70541203,0.69726443
1,3700,0.70164490,0.49023438,0.48535156,0.49511719,0.70557475,0.69771498
1,3800,0.70197284,0.49316406,0.48437500,0.50195312,0.70565438,0.69829136
1,3900,0.70228815,0.48925781,0.47851562,0.50000000,0.70563942,0.69893688
1,4000,0.70263690,0.49267578,0.48144531,0.50390625,0.70559275,0.69968092
1,4100,0.70312750,0.49316406,0.48339844,0.50292969,0.70561993,0.70063508
1,4200,0.70372987,0.49169922,0.48535156,0.49804688,0.70563471,0.70182514
1,4300,0.70452678,0.49218750,0.48730469,0.49707031,0.70566916,0.70338428
1,4400,0.70543289,0.49169922,0.48730469,0.49609375,0.70570803,0.70515776
1,4500,0.70648313,0.49072266,0.49023438,0.49121094,0.70572859,0.70723772
1,4600,0.70788622,0.48828125,0.48925781,0.48730469,0.70594549,0.70982695
1,4700,0.70938802,0.49072266,0.49023438,0.49121094,0.70596504,0.71281081
1,4800,0.71113491,0.48876953,0.49023438,0.48730469,0.70595741,0.71631229
