seed,epoch,test-loss,total-acc,test-acc_feature0-linear,test-acc_feature1-linear,test-loss_feature0-linear,test-loss_feature1-linear
0,0,0.68541086,0.59521484,0.56933594,0.62109375,0.68203092,0.68879086
0,500,0.00147619,1.00000000,1.00000000,1.00000000,0.00140431,0.00154808
0,1000,0.00049878,1.00000000,1.00000000,1.00000000,0.00048023,0.00051733
