seed,total-variance,feature1-xor_xor_xor
3,16.23189735,0.29886439
3,16.40207672,0.29942540
3,16.56438446,0.29995583
3,16.72004509,0.30045822
3,16.87035751,0.30093910
3,17.01420975,0.30139747
3,17.15297318,0.30183163
3,17.28675270,0.30224828
3,17.41591835,0.30264540
3,17.54099464,0.30302830
3,17.66214752,0.30339342
3,17.77947426,0.30374427
3,17.89298630,0.30408259
3,18.00369453,0.30441016
3,18.11111259,0.30472425
3,18.21554756,0.30502765
3,18.31723976,0.30532244
3,18.41656876,0.30560748
3,18.51323128,0.30588476
3,18.60777664,0.30615553
3,18.69986725,0.30641675
3,18.78968430,0.30667120
3,18.87800407,0.30692105
3,18.96409416,0.30716285
3,19.04799271,0.30739849
3,19.13050842,0.30762867
3,19.21122742,0.30785506
3,19.29012871,0.30807496
3,19.36766434,0.30828965
3,19.44375801,0.30850044
3,19.51820755,0.30870441
3,19.59151268,0.30890471
3,19.66342735,0.30910140
3,19.73405075,0.30929412
3,19.80326843,0.30948250
3,19.87149620,0.30966892
3,19.93857193,0.30985269
3,20.00441742,0.31003011
3,20.06912231,0.31020668
3,20.13274765,0.31037765
3,20.19543266,0.31054598
3,20.25690460,0.31070943
3,20.31748962,0.31087024
3,20.37720108,0.31103022
3,20.43587685,0.31118526
3,20.49374771,0.31133871
3,20.55066490,0.31148774
3,20.60679817,0.31163508
3,20.66188049,0.31177706
3,20.71621704,0.31191690
3,20.76971054,0.31205317
3,20.82241821,0.31218733
3,20.87442017,0.31231950
3,20.92563820,0.31245020
3,20.97604370,0.31257672
3,21.02583885,0.31270212
3,21.07498169,0.31282615
3,21.12339020,0.31294759
3,21.17111969,0.31306771
3,21.21828842,0.31318642
3,21.26475525,0.31330329
3,21.31062126,0.31341778
3,21.35581970,0.31352992
3,21.40050125,0.31364140
3,21.44452286,0.31375050
3,21.48797226,0.31385800
3,21.53106308,0.31396503
3,21.57339478,0.31406902
3,21.61530304,0.31417219
3,21.65657425,0.31427396
3,21.69731522,0.31437386
3,21.73768234,0.31447275
3,21.77742004,0.31456976
3,21.81673813,0.31466511
3,21.85568619,0.31475931
3,21.89411926,0.31485286
3,21.93196678,0.31494413
3,21.96929169,0.31503359
3,22.00622749,0.31512275
3,22.04271698,0.31521072
3,22.07881927,0.31529710
3,22.11442184,0.31538133
3,22.14973831,0.31546616
3,22.18450737,0.31554911
3,22.21868134,0.31563035
4,0.13879745,-0.00180697
4,0.13372113,-0.00184706
4,0.13164607,-0.00188251
4,0.13094559,-0.00190968
4,0.13078678,-0.00190878
4,0.13102064,-0.00189008
4,0.13159251,-0.00188370
4,0.13234723,-0.00189379
4,0.13341050,-0.00189662
4,0.13479224,-0.00190555
4,0.13634983,-0.00189736
4,0.13797542,-0.00188025
4,0.13970511,-0.00186561
4,0.14134613,-0.00184205
4,0.14323093,-0.00182273
4,0.14506763,-0.00179422
4,0.14707035,-0.00178461
4,0.14907578,-0.00177374
4,0.15116900,-0.00177063
4,0.15337929,-0.00174949
4,0.15596968,-0.00174084
4,0.15845589,-0.00174689
4,0.16092749,-0.00175151
4,0.16363564,-0.00176216
4,0.16620587,-0.00177213
