seed,total-variance,feature0-linear,feature1-xor_xor_xor
0,0.12106884,0.01853516,-0.00357791
0,10.63630295,0.65964047,-0.00100082
0,16.52020264,0.69437320,-0.00087858
0,19.51764488,0.70598679,-0.00085691
0,21.55168533,0.71258240,-0.00085127
0,21.23609161,0.71848953,-0.00092973
0,21.17511177,0.72134390,-0.00087080
0,21.11499405,0.72274889,-0.00084706
0,21.08800697,0.72298018,-0.00081206
0,21.08663177,0.72307709,-0.00078220
0,21.09822655,0.72276077,-0.00077450
0,21.11564255,0.72196600,-0.00077260
0,21.13762856,0.72091234,-0.00077401
0,21.15343094,0.71892466,-0.00077340
0,21.17334747,0.71678185,-0.00077504
0,21.19503784,0.71427146,-0.00079327
0,21.22213364,0.71329016,-0.00079925
0,21.25605392,0.71234057,-0.00078905
0,21.29420471,0.71172807,-0.00076831
0,21.33782196,0.71160992,-0.00074611
0,21.38440704,0.71154544,-0.00072937
0,21.43496704,0.71094574,-0.00072304
0,21.48020935,0.71023555,-0.00071612
0,21.52333450,0.70938965,-0.00070476
0,21.56757736,0.70888968,-0.00069616
0,21.62247849,0.70997668,-0.00068989
0,21.68403053,0.71143674,-0.00068553
0,21.74867630,0.71158898,-0.00067730
0,21.81239128,0.71147269,-0.00066941
0,21.87759399,0.71089311,-0.00066923
0,21.94822502,0.70987640,-0.00067666
0,22.02061844,0.70890488,-0.00067734
0,22.09106827,0.70813713,-0.00067822
0,22.16206741,0.70712442,-0.00068046
0,22.22579384,0.70555539,-0.00067691
0,22.29473686,0.70407418,-0.00067102
0,22.36547852,0.70206311,-0.00066759
0,22.45418930,0.69973986,-0.00066557
0,22.55763626,0.69664584,-0.00067302
0,22.67198372,0.69437102,-0.00069238
0,22.78326416,0.69164169,-0.00073505
0,22.88573456,0.68828641,-0.00076300
0,22.97323990,0.68518814,-0.00079928
0,23.05551147,0.68348829,-0.00083072
0,23.13162231,0.68197378,-0.00084985
0,23.20488739,0.68001140,-0.00087007
0,23.27958298,0.67816065,-0.00089651
0,23.37646866,0.67580501,-0.00093407
0,23.47307587,0.67350047,-0.00098209
0,23.57016754,0.67101516,-0.00102153
0,23.66701508,0.66855626,-0.00108126
0,23.76300049,0.66494136,-0.00110476
0,23.87798691,0.65424204,-0.00048988
0,23.29451752,0.63636009,0.00282938
0,22.79275131,0.56926248,0.03042402
0,26.25875282,0.50414571,0.10207952
0,28.04096603,0.48022865,0.13173457
0,29.08466339,0.46713991,0.14753829
0,29.83772659,0.45840921,0.15759710
0,30.43128586,0.45206945,0.16486720
0,30.92605972,0.44719617,0.17049915
0,31.34432983,0.44325048,0.17505392
0,31.70798874,0.43996724,0.17885663
0,32.03025818,0.43719095,0.18210449
0,32.31750870,0.43479797,0.18493772
0,32.57804871,0.43268608,0.18745547
0,32.81425095,0.43079728,0.18970642
0,33.02741623,0.42908587,0.19174688
0,33.22537231,0.42753358,0.19361046
0,33.40998077,0.42611466,0.19531444
1,0.08838252,0.01817195,-0.00210407
1,8.12533379,0.68154147,-0.00395527
1,15.70810509,0.72011783,-0.00398542
1,19.10150909,0.73005837,-0.00396920
1,21.31940842,0.73532207,-0.00396035
1,17.93725777,0.73654876,-0.00351678
1,17.75625801,0.73781735,-0.00350870
1,17.69433022,0.73939590,-0.00352568
1,17.57056236,0.74079836,-0.00353851
1,17.50779533,0.74233583,-0.00353591
1,17.45108414,0.74342527,-0.00353771
1,17.39033890,0.74313579,-0.00353943
1,17.33671951,0.74254568,-0.00354284
1,17.30674744,0.74243368,-0.00355600
1,17.28745842,0.74165051,-0.00356510
1,17.27265167,0.74129712,-0.00356687
1,17.26329803,0.74104393,-0.00357561
1,17.26430321,0.74079480,-0.00358743
1,17.26434326,0.74055412,-0.00360186
1,17.27371407,0.74053544,-0.00361251
1,17.27814484,0.74036132,-0.00362559
1,17.27983856,0.74050181,-0.00364230
1,17.28363991,0.74034444,-0.00366134
1,17.30924034,0.73997119,-0.00368411
1,17.33127594,0.73979031,-0.00370035
1,17.34654999,0.73988039,-0.00371827
1,17.35813904,0.73978588,-0.00373630
1,17.37002945,0.73997779,-0.00377013
1,17.36877251,0.74013963,-0.00379092
1,17.38195801,0.73990701,-0.00380249
1,17.38785934,0.74007253,-0.00381372
1,17.39674950,0.74042782,-0.00382533
1,17.42131424,0.74108029,-0.00384233
1,17.45759201,0.74180135,-0.00385379
1,17.48249435,0.74236414,-0.00385831
1,17.49463463,0.74289163,-0.00386037
1,17.51114464,0.74319276,-0.00385919
1,17.54000282,0.74383309,-0.00385872
1,17.56944275,0.74432118,-0.00385898
1,17.60477066,0.74437996,-0.00386455
1,17.66133881,0.74429246,-0.00387147
1,17.72118378,0.74434410,-0.00387344
1,17.76142120,0.74449383,-0.00387848
1,17.83777618,0.74414387,-0.00387658
1,17.92209244,0.74405876,-0.00387435
1,17.97320366,0.74442986,-0.00387358
1,18.04749489,0.74403751,-0.00386375
1,18.14306831,0.74382564,-0.00385831
1,18.22646141,0.74368740,-0.00385497
1,18.31751251,0.74337257,-0.00385146
1,18.43885803,0.74323639,-0.00385171
1,18.54931068,0.74332701,-0.00385536
1,18.66611099,0.74327139,-0.00386312
1,18.81064796,0.74372438,-0.00386388
1,18.96509933,0.74299554,-0.00385038
1,19.12947083,0.74214963,-0.00382956
1,19.32522774,0.74145229,-0.00380189
1,19.50541878,0.74129612,-0.00379006
1,19.71216011,0.74050237,-0.00378142
1,19.92855835,0.74015434,-0.00377054
1,20.15166664,0.74016808,-0.00375922
1,20.34704208,0.74014437,-0.00374846
1,20.67141724,0.73914210,-0.00368693
1,21.03144836,0.73237059,-0.00314521
1,20.86805153,0.70599952,0.00134778
1,24.23826408,0.63454651,0.04563667
1,28.36952591,0.56680918,0.08604881
1,30.20809364,0.54019105,0.10439709
1,31.42896080,0.52684571,0.11401761
1,32.33497620,0.51756705,0.12056371
1,33.06612396,0.51050033,0.12550434
1,33.67448044,0.50484371,0.12941481
1,34.18912506,0.50013134,0.13264756
1,34.63862991,0.49610207,0.13538869
1,35.03840256,0.49264507,0.13775394
1,35.39622498,0.48955597,0.13983293
1,35.71737289,0.48680600,0.14167671
1,36.00958252,0.48433821,0.14333202
1,36.27716446,0.48209040,0.14483547
1,36.52476501,0.48005172,0.14621168
1,36.75468063,0.47817821,0.14748214
2,0.13892905,0.04421744,-0.00258720
2,11.08343220,0.75018065,-0.00316900
2,17.37708473,0.77863681,-0.00230901
2,20.55525589,0.78766588,-0.00220572
2,22.70566559,0.79261910,-0.00219093
2,22.17168045,0.79888428,-0.00223837
2,22.18625259,0.79927359,-0.00223038
2,22.20472336,0.79972236,-0.00224085
2,22.23353195,0.80010271,-0.00225134
2,22.25066948,0.79957075,-0.00225699
2,22.30780602,0.79913453,-0.00226647
2,22.34680176,0.79845270,-0.00227873
2,22.38883591,0.79761903,-0.00228801
2,22.44450760,0.79701008,-0.00230540
2,22.50204468,0.79661504,-0.00231634
2,22.56685638,0.79611111,-0.00232721
2,22.63434029,0.79566324,-0.00233723
2,22.69703674,0.79521598,-0.00235254
2,22.76085091,0.79485702,-0.00236688
2,22.82332611,0.79441736,-0.00237574
2,22.88556862,0.79392166,-0.00238621
2,22.95994759,0.79355499,-0.00240464
2,23.04447174,0.79317270,-0.00242354
2,23.12427139,0.79272389,-0.00243835
2,23.21646500,0.79252759,-0.00245917
2,23.29896927,0.79268930,-0.00247896
2,23.38475418,0.79292405,-0.00247157
2,23.47469521,0.79290418,-0.00246056
2,23.56780815,0.79313685,-0.00245115
2,23.65991974,0.79366598,-0.00244000
2,23.74755669,0.79390963,-0.00244063
2,23.83116341,0.79434448,-0.00243775
2,23.92277908,0.79495416,-0.00243475
2,24.02382660,0.79503386,-0.00243973
2,24.13212204,0.79483248,-0.00243340
2,24.26056099,0.79449730,-0.00240246
2,24.39112473,0.79496018,-0.00240053
2,24.53948212,0.79744372,-0.00240277
2,24.67898369,0.79789822,-0.00241554
2,24.83133125,0.79836796,-0.00243140
2,24.99898148,0.79907375,-0.00245203
2,25.16618538,0.79884244,-0.00247022
2,25.34985352,0.79821969,-0.00249209
2,25.54946136,0.79702502,-0.00251787
2,25.77476883,0.79558491,-0.00251617
2,25.99743843,0.79387252,-0.00249526
2,26.25192261,0.79175170,-0.00247571
2,26.54780006,0.79001254,-0.00246325
2,26.87142944,0.78883258,-0.00243841
2,27.19721222,0.78733977,-0.00242743
2,27.52612686,0.78582863,-0.00241381
2,27.89252853,0.78439528,-0.00241216
2,28.33557320,0.78332969,-0.00240792
2,28.77956009,0.78161016,-0.00240525
2,29.28930283,0.78047729,-0.00240422
2,29.79670143,0.77820032,-0.00240476
2,30.31718063,0.77598637,-0.00242140
2,30.84604645,0.77353650,-0.00243697
2,31.43444824,0.77168728,-0.00245263
2,32.06586838,0.77049387,-0.00246746
2,32.60902405,0.76724946,-0.00246953
2,33.24509430,0.76596403,-0.00248520
2,33.80340958,0.76397665,-0.00249371
2,34.48941803,0.76293028,-0.00250957
2,35.07354736,0.76178270,-0.00250503
2,35.64404678,0.75996158,-0.00250063
2,36.05646515,0.75793514,-0.00248589
2,36.50544739,0.75676023,-0.00251108
2,36.68012238,0.75450869,-0.00251552
2,36.70845413,0.75205257,-0.00251565
2,35.99419022,0.74853090,-0.00250783
2,35.00284576,0.74389818,-0.00241217
2,33.79377365,0.73227380,-0.00117170
2,33.39938354,0.68466120,0.01216397
2,35.45291901,0.62326073,0.04629672
2,37.04154968,0.58355862,0.07011619
