seed,epoch,test-loss,total-acc,test-acc_feature0-linear,test-acc_feature1-xor_xor_xor,test-loss_feature0-linear,test-loss_feature1-xor_xor_xor
2,15000,0.00091445,1.00000000,1.00000000,1.00000000,0.00002871,0.00180019
3,0,0.69100380,0.55615234,0.61230469,0.50000000,0.68832093,0.69368666
3,500,0.34774113,0.73925781,1.00000000,0.47851562,0.00174382,0.69373834
3,1000,0.34707463,0.74462891,1.00000000,0.48925781,0.00057985,0.69356942
3,1500,0.34692594,0.74560547,1.00000000,0.49121094,0.00032655,0.69352537
3,2000,0.34682703,0.74658203,1.00000000,0.49316406,0.00022086,0.69343323
3,2500,0.34673759,0.75244141,1.00000000,0.50488281,0.00016511,0.69331014
3,3000,0.34656361,0.75292969,1.00000000,0.50585938,0.00013290,0.69299424
3,3500,0.34596264,0.76562500,1.00000000,0.53125000,0.00012098,0.69180435
3,4000,0.33568269,0.85888672,1.00000000,0.71777344,0.00044692,0.67091852
3,4500,0.25532478,0.90966797,1.00000000,0.81933594,0.00332845,0.50732106
3,5000,0.11237210,0.96875000,1.00000000,0.93750000,0.00264081,0.22210339
3,5500,0.01799789,0.99951172,0.99902344,1.00000000,0.00180569,0.03419008
3,6000,0.00563442,1.00000000,1.00000000,1.00000000,0.00106659,0.01020225
3,6500,0.00281094,1.00000000,1.00000000,1.00000000,0.00069585,0.00492604
3,7000,0.00176127,1.00000000,1.00000000,1.00000000,0.00051082,0.00301172
3,7500,0.00124861,1.00000000,1.00000000,1.00000000,0.00040587,0.00209136
3,8000,0.00095387,1.00000000,1.00000000,1.00000000,0.00034082,0.00156691
4,0,0.69377887,0.51318359,0.52636719,0.50000000,0.69227481,0.69528276
4,500,0.34755114,0.75244141,1.00000000,0.50488281,0.00165472,0.69344759
4,1000,0.34690374,0.75830078,1.00000000,0.51660156,0.00057608,0.69323140
4,1500,0.34671122,0.75927734,1.00000000,0.51855469,0.00033072,0.69309175
4,2000,0.34659082,0.75390625,1.00000000,0.50781250,0.00022739,0.69295430
4,2500,0.34647870,0.75634766,1.00000000,0.51269531,0.00017208,0.69278538
4,3000,0.34636241,0.75439453,1.00000000,0.50878906,0.00013838,0.69258642
4,3500,0.34613499,0.76074219,1.00000000,0.52148438,0.00011786,0.69215208
4,4000,0.34455284,0.79541016,1.00000000,0.59082031,0.00012221,0.68898350
4,4500,0.32858616,0.87353516,1.00000000,0.74707031,0.00109083,0.65608156
4,5000,0.21579652,0.93896484,1.00000000,0.87792969,0.00482228,0.42677072
4,5500,0.04190866,0.99414062,1.00000000,0.98828125,0.00125122,0.08256610
4,6000,0.00814167,1.00000000,1.00000000,1.00000000,0.00051121,0.01577213
4,6500,0.00318305,1.00000000,1.00000000,1.00000000,0.00026043,0.00610567
4,7000,0.00177574,1.00000000,1.00000000,1.00000000,0.00015855,0.00339292
4,7500,0.00117456,1.00000000,1.00000000,1.00000000,0.00010918,0.00223994
4,8000,0.00085592,1.00000000,1.00000000,1.00000000,0.00008248,0.00162936
5,0,0.69003826,0.56005859,0.60937500,0.51074219,0.68611801,0.69395852
5,500,0.34762466,0.74462891,1.00000000,0.48925781,0.00161452,0.69363487
5,1000,0.34709954,0.74560547,1.00000000,0.49121094,0.00054881,0.69365025
5,1500,0.34701636,0.74707031,1.00000000,0.49414062,0.00031425,0.69371855
5,2000,0.34701326,0.74853516,1.00000000,0.49707031,0.00021565,0.69381088
5,2500,0.34700724,0.74511719,1.00000000,0.49023438,0.00016220,0.69385231
5,3000,0.34703141,0.75000000,1.00000000,0.50000000,0.00012937,0.69393343
5,3500,0.34703463,0.74658203,1.00000000,0.49316406,0.00010708,0.69396210
5,4000,0.34703875,0.74560547,1.00000000,0.49121094,0.00009085,0.69398659
5,4500,0.34704626,0.74511719,1.00000000,0.49023438,0.00007878,0.69401371
5,5000,0.34706968,0.74951172,1.00000000,0.49902344,0.00006945,0.69406986
5,5500,0.34710073,0.74951172,1.00000000,0.49902344,0.00006194,0.69413948
5,6000,0.34712625,0.74707031,1.00000000,0.49414062,0.00005574,0.69419676
5,6500,0.34714612,0.74902344,1.00000000,0.49804688,0.00005052,0.69424176
5,7000,0.34712654,0.74902344,1.00000000,0.49804688,0.00004618,0.69420695
5,7500,0.34673285,0.75292969,1.00000000,0.50585938,0.00004257,0.69342315
5,8000,0.34494510,0.77636719,1.00000000,0.55273438,0.00004010,0.68985009
5,8500,0.33132869,0.85449219,1.00000000,0.70898438,0.00004271,0.66261470
5,9000,0.12970066,0.95947266,1.00000000,0.91894531,0.00012987,0.25927147
5,9500,0.00630639,1.00000000,1.00000000,1.00000000,0.00005963,0.01255314
5,10000,0.00213255,1.00000000,1.00000000,1.00000000,0.00002925,0.00423584
5,10500,0.00116544,1.00000000,1.00000000,1.00000000,0.00001878,0.00231210
5,11000,0.00076853,1.00000000,1.00000000,1.00000000,0.00001373,0.00152333
6,0,0.69630694,0.49902344,0.49511719,0.50292969,0.69856739,0.69404638
6,500,0.34736940,0.75048828,1.00000000,0.50097656,0.00160367,0.69313520
6,1000,0.34682637,0.75000000,1.00000000,0.50000000,0.00056803,0.69308472
6,1500,0.34672660,0.74804688,1.00000000,0.49609375,0.00032631,0.69312692
6,2000,0.34670618,0.74804688,1.00000000,0.49609375,0.00022366,0.69318879
6,2500,0.34672076,0.74658203,1.00000000,0.49316406,0.00016777,0.69327366
6,3000,0.34676313,0.74560547,1.00000000,0.49121094,0.00013407,0.69339216
6,3500,0.34679085,0.74560547,1.00000000,0.49121094,0.00011132,0.69347036
6,4000,0.34684867,0.74658203,1.00000000,0.49316406,0.00009407,0.69360328
6,4500,0.34692198,0.74267578,1.00000000,0.48535156,0.00008108,0.69376290
6,5000,0.34698424,0.74121094,1.00000000,0.48242188,0.00007080,0.69389766
6,5500,0.34703857,0.74169922,1.00000000,0.48339844,0.00006258,0.69401455
6,6000,0.34709498,0.74169922,1.00000000,0.48339844,0.00005568,0.69413429
6,6500,0.34713602,0.74267578,1.00000000,0.48535156,0.00005002,0.69422203
6,7000,0.34716114,0.74609375,1.00000000,0.49218750,0.00004532,0.69427705
6,7500,0.34717017,0.75000000,1.00000000,0.50000000,0.00004135,0.69429892
6,8000,0.34720027,0.74902344,1.00000000,0.49804688,0.00003801,0.69436240
6,8500,0.34721935,0.74902344,1.00000000,0.49804688,0.00003512,0.69440353
6,9000,0.34725416,0.74804688,1.00000000,0.49609375,0.00003259,0.69447565
6,9500,0.34725824,0.74951172,1.00000000,0.49902344,0.00003037,0.69448620
6,10000,0.34724718,0.75585938,1.00000000,0.51171875,0.00002854,0.69446576
6,10500,0.34721276,0.75683594,1.00000000,0.51367188,0.00002690,0.69439864
6,11000,0.34685749,0.75683594,1.00000000,0.51367188,0.00002635,0.69368863
6,11500,0.33828452,0.79101562,1.00000000,0.58203125,0.00013769,0.67643136
6,12000,0.25611648,0.90527344,0.99804688,0.81250000,0.00756449,0.50466847
6,12500,0.08952990,0.97607422,1.00000000,0.95214844,0.00263874,0.17642105
6,13000,0.01309686,0.99951172,1.00000000,0.99902344,0.00069439,0.02549932
6,13500,0.00412308,1.00000000,1.00000000,1.00000000,0.00024868,0.00799747
6,14000,0.00212503,1.00000000,1.00000000,1.00000000,0.00013606,0.00411400
6,14500,0.00135420,1.00000000,1.00000000,1.00000000,0.00009090,0.00261750
6,15000,0.00096613,1.00000000,1.00000000,1.00000000,0.00006753,0.00186474
7,0,0.68977743,0.57958984,0.65820312,0.50097656,0.68465394,0.69490087
7,500,0.34782201,0.74609375,1.00000000,0.49218750,0.00190630,0.69373780
7,1000,0.34716138,0.74560547,1.00000000,0.49121094,0.00063212,0.69369060
7,1500,0.34706098,0.74560547,1.00000000,0.49121094,0.00035596,0.69376600
7,2000,0.34704578,0.74951172,1.00000000,0.49902344,0.00024218,0.69384944
7,2500,0.34708393,0.75000000,1.00000000,0.50000000,0.00018095,0.69398689
7,3000,0.34714425,0.74560547,1.00000000,0.49121094,0.00014372,0.69414473
7,3500,0.34717453,0.74414062,1.00000000,0.48828125,0.00011827,0.69423079
7,4000,0.34724891,0.74169922,1.00000000,0.48339844,0.00010007,0.69439775
7,4500,0.34730589,0.74169922,1.00000000,0.48339844,0.00008655,0.69452524
7,5000,0.34736720,0.73828125,1.00000000,0.47656250,0.00007589,0.69465858
7,5500,0.34744418,0.74121094,1.00000000,0.48242188,0.00006743,0.69482094
7,6000,0.34749746,0.74169922,1.00000000,0.48339844,0.00006045,0.69493437
7,6500,0.34754935,0.74316406,1.00000000,0.48632812,0.00005469,0.69504404
7,7000,0.34759343,0.74316406,1.00000000,0.48632812,0.00004985,0.69513702
7,7500,0.34762880,0.74316406,1.00000000,0.48632812,0.00004591,0.69521165
