seed,epoch,test-loss,total-acc,test-acc_feature0,test-acc_feature1,test-loss_feature0,test-loss_feature1
0,0,0.69285154,0.53369141,0.56738281,0.50000000,0.68952751,0.69617546
0,100,0.36043561,0.75000000,1.00000000,0.50000000,0.00964046,0.71123075
0,200,0.35972935,0.75000000,1.00000000,0.50000000,0.00212017,0.71733850
0,300,0.36060572,0.75000000,1.00000000,0.50000000,0.00106272,0.72014874
0,400,0.36133182,0.75000000,1.00000000,0.50000000,0.00068079,0.72198278
0,500,0.34757113,0.75097656,1.00000000,0.50195312,0.00059015,0.69455212
0,600,0.34751523,0.74853516,1.00000000,0.49707031,0.00050733,0.69452322
0,700,0.34746686,0.74511719,1.00000000,0.49023438,0.00044257,0.69449109
0,800,0.34742689,0.74365234,1.00000000,0.48730469,0.00039174,0.69446194
0,900,0.34741145,0.74414062,1.00000000,0.48828125,0.00035058,0.69447231
0,1000,0.34740049,0.74804688,1.00000000,0.49609375,0.00031654,0.69448441
0,1100,0.34740245,0.75048828,1.00000000,0.50097656,0.00028798,0.69451690
0,1200,0.34740600,0.75146484,1.00000000,0.50292969,0.00026375,0.69454825
0,1300,0.34741029,0.74707031,1.00000000,0.49414062,0.00024322,0.69457734
0,1400,0.34740996,0.74707031,1.00000000,0.49414062,0.00022536,0.69459450
0,1500,0.34741876,0.74755859,1.00000000,0.49511719,0.00020981,0.69462770
0,1600,0.34742153,0.74560547,1.00000000,0.49121094,0.00019606,0.69464695
0,1700,0.34742150,0.74853516,1.00000000,0.49707031,0.00018385,0.69465911
0,1800,0.34742320,0.74853516,1.00000000,0.49707031,0.00017303,0.69467330
0,1900,0.34742340,0.75244141,1.00000000,0.50488281,0.00016329,0.69468355
0,2000,0.34743714,0.75097656,1.00000000,0.50195312,0.00015450,0.69471979
0,2100,0.34744704,0.74804688,1.00000000,0.49609375,0.00014653,0.69474751
0,2200,0.34746557,0.74853516,1.00000000,0.49707031,0.00013941,0.69479179
0,2300,0.34748375,0.74853516,1.00000000,0.49707031,0.00013289,0.69483459
0,2400,0.34749672,0.74951172,1.00000000,0.49902344,0.00012690,0.69486654
0,2500,0.34751517,0.75000000,1.00000000,0.50000000,0.00012139,0.69490892
0,2600,0.34752750,0.75000000,1.00000000,0.50000000,0.00011629,0.69493866
0,2700,0.34754986,0.75048828,1.00000000,0.50097656,0.00011155,0.69498813
0,2800,0.34757900,0.74853516,1.00000000,0.49707031,0.00010717,0.69505090
0,2900,0.34758949,0.74853516,1.00000000,0.49707031,0.00010316,0.69507587
0,3000,0.34762105,0.74853516,1.00000000,0.49707031,0.00009935,0.69514275
0,3100,0.34766012,0.74902344,1.00000000,0.49804688,0.00009580,0.69522446
0,3200,0.34768915,0.75000000,1.00000000,0.50000000,0.00009247,0.69528592
0,3300,0.34771672,0.74951172,1.00000000,0.49902344,0.00008934,0.69534409
