seed,epoch,test-loss,total-acc,test-acc_feature1,test-loss_feature1
1,4100,0.70216405,0.50878906,0.50878906,0.70216405
1,4200,0.70412409,0.50585938,0.50585938,0.70412409
1,4300,0.70658010,0.50781250,0.50781250,0.70658010
1,4400,0.70945883,0.51171875,0.51171875,0.70945883
1,4500,0.71303070,0.51562500,0.51562500,0.71303070
1,4600,0.71725434,0.51953125,0.51953125,0.71725434
1,4700,0.72182113,0.51953125,0.51953125,0.72182113
1,4800,0.72715056,0.51367188,0.51367188,0.72715056
1,4900,0.73276854,0.51660156,0.51660156,0.73276854
1,5000,0.73940617,0.51757812,0.51757812,0.73940617
1,5100,0.74674422,0.51464844,0.51464844,0.74674422
1,5200,0.75547642,0.52343750,0.52343750,0.75547642
1,5300,0.76503938,0.51171875,0.51171875,0.76503938
1,5400,0.77593815,0.51367188,0.51367188,0.77593815
1,5500,0.78785861,0.51074219,0.51074219,0.78785861
1,5600,0.79793137,0.51660156,0.51660156,0.79793137
1,5700,0.76627332,0.55566406,0.55566406,0.76627332
1,5800,0.51312029,0.74707031,0.74707031,0.51312029
1,5900,0.16314441,0.94531250,0.94531250,0.16314441
1,6000,0.05436456,0.98730469,0.98730469,0.05436456
1,6100,0.02765438,0.99511719,0.99511719,0.02765438
1,6200,0.01750705,0.99804688,0.99804688,0.01750705
1,6300,0.01244921,0.99902344,0.99902344,0.01244921
1,6400,0.00953376,0.99902344,0.99902344,0.00953376
1,6500,0.00770552,1.00000000,1.00000000,0.00770552
1,6600,0.00637622,1.00000000,1.00000000,0.00637622
1,6700,0.00544079,1.00000000,1.00000000,0.00544079
1,6800,0.00472635,1.00000000,1.00000000,0.00472635
1,6900,0.00415832,1.00000000,1.00000000,0.00415832
1,7000,0.00370723,1.00000000,1.00000000,0.00370723
1,7100,0.00335329,1.00000000,1.00000000,0.00335329
1,7200,0.00304929,1.00000000,1.00000000,0.00304929
1,7300,0.00279941,1.00000000,1.00000000,0.00279941
1,7400,0.00257982,1.00000000,1.00000000,0.00257982
1,7500,0.00239594,1.00000000,1.00000000,0.00239594
1,7600,0.00223696,1.00000000,1.00000000,0.00223696
1,7700,0.00209525,1.00000000,1.00000000,0.00209525
1,7800,0.00196979,1.00000000,1.00000000,0.00196979
1,7900,0.00185664,1.00000000,1.00000000,0.00185664
1,8000,0.00176020,1.00000000,1.00000000,0.00176020
1,8100,0.00166951,1.00000000,1.00000000,0.00166951
1,8200,0.00158897,1.00000000,1.00000000,0.00158897
1,8300,0.00151633,1.00000000,1.00000000,0.00151633
1,8400,0.00144915,1.00000000,1.00000000,0.00144915
1,8500,0.00138694,1.00000000,1.00000000,0.00138694
1,8600,0.00133087,1.00000000,1.00000000,0.00133087
1,8700,0.00127783,1.00000000,1.00000000,0.00127783
1,8800,0.00122946,1.00000000,1.00000000,0.00122946
1,8900,0.00118261,1.00000000,1.00000000,0.00118261
1,9000,0.00114197,1.00000000,1.00000000,0.00114197
1,9100,0.00110295,1.00000000,1.00000000,0.00110295
1,9200,0.00106469,1.00000000,1.00000000,0.00106469
1,9300,0.00103024,1.00000000,1.00000000,0.00103024
1,9400,0.00099749,1.00000000,1.00000000,0.00099749
2,0,0.69676387,0.50097656,0.50097656,0.69676387
2,100,0.69365931,0.48046875,0.48046875,0.69365931
2,200,0.69374591,0.48242188,0.48242188,0.69374591
2,300,0.69386822,0.47753906,0.47753906,0.69386822
2,400,0.69402641,0.48144531,0.48144531,0.69402641
2,500,0.69415379,0.48437500,0.48437500,0.69415379
2,600,0.69424421,0.48828125,0.48828125,0.69424421
2,700,0.69432569,0.48632812,0.48632812,0.69432569
2,800,0.69440478,0.48632812,0.48632812,0.69440478
2,900,0.69449764,0.48046875,0.48046875,0.69449764
2,1000,0.69461977,0.48242188,0.48242188,0.69461977
2,1100,0.69474268,0.48339844,0.48339844,0.69474268
2,1200,0.69489151,0.48730469,0.48730469,0.69489151
2,1300,0.69504768,0.48828125,0.48828125,0.69504768
2,1400,0.69520509,0.48144531,0.48144531,0.69520509
2,1500,0.69536161,0.48144531,0.48144531,0.69536161
2,1600,0.69551021,0.48632812,0.48632812,0.69551021
2,1700,0.69566661,0.49511719,0.49511719,0.69566661
2,1800,0.69581801,0.49511719,0.49511719,0.69581801
2,1900,0.69597542,0.49316406,0.49316406,0.69597542
2,2000,0.69614470,0.49414062,0.49414062,0.69614470
2,2100,0.69629228,0.49414062,0.49414062,0.69629228
2,2200,0.69643891,0.49511719,0.49511719,0.69643891
2,2300,0.69657481,0.49804688,0.49804688,0.69657481
2,2400,0.69670820,0.49902344,0.49902344,0.69670820
2,2500,0.69685352,0.49902344,0.49902344,0.69685352
2,2600,0.69699430,0.49609375,0.49609375,0.69699430
2,2700,0.69713545,0.50097656,0.50097656,0.69713545
2,2800,0.69728744,0.49707031,0.49707031,0.69728744
2,2900,0.69746947,0.49316406,0.49316406,0.69746947
2,3000,0.69765478,0.49121094,0.49121094,0.69765478
2,3100,0.69783640,0.48828125,0.48828125,0.69783640
2,3200,0.69802821,0.48828125,0.48828125,0.69802821
2,3300,0.69824964,0.49121094,0.49121094,0.69824964
2,3400,0.69848442,0.49414062,0.49414062,0.69848442
2,3500,0.69874573,0.49804688,0.49804688,0.69874573
2,3600,0.69902480,0.49902344,0.49902344,0.69902480
2,3700,0.69930285,0.50097656,0.50097656,0.69930285
2,3800,0.69963849,0.50097656,0.50097656,0.69963849
2,3900,0.70010281,0.50781250,0.50781250,0.70010281
2,4000,0.70065701,0.51367188,0.51367188,0.70065701
2,4100,0.70140994,0.51660156,0.51660156,0.70140994
2,4200,0.70225418,0.51464844,0.51464844,0.70225418
2,4300,0.70341253,0.51757812,0.51757812,0.70341253
2,4400,0.70483303,0.51464844,0.51464844,0.70483303
2,4500,0.70638549,0.51562500,0.51562500,0.70638549
2,4600,0.70816201,0.51855469,0.51855469,0.70816201
2,4700,0.71026361,0.52050781,0.52050781,0.71026361
2,4800,0.71272480,0.51855469,0.51855469,0.71272480
2,4900,0.71549487,0.52050781,0.52050781,0.71549487
2,5000,0.71858746,0.51464844,0.51464844,0.71858746
2,5100,0.72231126,0.51074219,0.51074219,0.72231126
2,5200,0.72607493,0.50976562,0.50976562,0.72607493
2,5300,0.73044586,0.50781250,0.50781250,0.73044586
2,5400,0.73513710,0.50781250,0.50781250,0.73513710
2,5500,0.74054921,0.50292969,0.50292969,0.74054921
2,5600,0.74718034,0.50683594,0.50683594,0.74718034
2,5700,0.75479627,0.50195312,0.50195312,0.75479627
2,5800,0.76185071,0.50781250,0.50781250,0.76185071
2,5900,0.76507044,0.51074219,0.51074219,0.76507044
2,6000,0.70232940,0.59375000,0.59375000,0.70232940
2,6100,0.33748254,0.87597656,0.87597656,0.33748254
